2026-03-17 22:46:10,981 | INFO | scraper | Requesting page 20: attempt 1
2026-03-17 22:46:11,128 | INFO | scraper | Page 19 scraped successfully with 20 books.
2026-03-17 22:46:11,130 | INFO | scraper | Requesting page 20: attempt 1
2026-03-17 22:46:11,801 | INFO | scraper | Page 20 scraped successfully with 20 books.
2026-03-17 22:46:11,803 | INFO | scraper | Requesting page 21: attempt 1
2026-03-17 22:46:11,900 | INFO | scraper | Page 20 scraped successfully with 20 books.
2026-03-17 22:46:11,901 | INFO | scraper | Requesting page 21: attempt 1
2026-03-17 22:46:12,620 | INFO | scraper | Page 21 scraped successfully with 20 books.
2026-03-17 22:46:12,621 | INFO | scraper | Requesting page 22: attempt 1
2026-03-17 22:46:12,683 | INFO | scraper | Page 21 scraped successfully with 20 books.
2026-03-17 22:46:12,685 | INFO | scraper | Requesting page 22: attempt 1
2026-03-17 22:46:13,443 | INFO | scraper | Page 22 scraped successfully with 20 books.
2026-03-17 22:46:13,445 | INFO | scraper | Requesting page 23: attempt 1
2026-03-17 22:46:13,494 | INFO | scraper | Page 22 scraped successfully with 20 books.
2026-03-17 22:46:13,496 | INFO | scraper | Requesting page 23: attempt 1
2026-03-17 22:46:14,305 | INFO | scraper | Page 23 scraped successfully with 20 books.
2026-03-17 22:46:14,307 | INFO | scraper | Requesting page 24: attempt 1
2026-03-17 22:46:14,383 | INFO | scraper | Page 23 scraped successfully with 20 books.
2026-03-17 22:46:14,385 | INFO | scraper | Requesting page 24: attempt 1
2026-03-17 22:46:15,138 | INFO | scraper | Page 24 scraped successfully with 20 books.
2026-03-17 22:46:15,140 | INFO | scraper | Requesting page 25: attempt 1
2026-03-17 22:46:15,181 | INFO | scraper | Page 24 scraped successfully with 20 books.
2026-03-17 22:46:15,183 | INFO | scraper | Requesting page 25: attempt 1
2026-03-17 22:46:16,006 | INFO | scraper | Page 25 scraped successfully with 20 books.
2026-03-17 22:46:16,008 | INFO | scraper | Requesting page 26: attempt 1
2026-03-17 22:46:16,014 | INFO | scraper | Page 25 scraped successfully with 20 books.
2026-03-17 22:46:16,016 | INFO | scraper | Requesting page 26: attempt 1
2026-03-17 22:46:16,857 | INFO | scraper | Page 26 scraped successfully with 20 books.
2026-03-17 22:46:16,862 | INFO | scraper | Requesting page 27: attempt 1
2026-03-17 22:46:16,867 | INFO | scraper | Page 26 scraped successfully with 20 books.
2026-03-17 22:46:16,870 | INFO | scraper | Requesting page 27: attempt 1
2026-03-17 22:46:17,808 | INFO | scraper | Page 27 scraped successfully with 20 books.
2026-03-17 22:46:17,810 | INFO | scraper | Requesting page 28: attempt 1
2026-03-17 22:46:17,818 | INFO | scraper | Page 27 scraped successfully with 20 books.
2026-03-17 22:46:17,822 | INFO | scraper | Requesting page 28: attempt 1
2026-03-17 22:46:18,662 | INFO | scraper | Page 28 scraped successfully with 20 books.
2026-03-17 22:46:18,663 | INFO | scraper | Requesting page 29: attempt 1
2026-03-17 22:46:18,684 | INFO | scraper | Page 28 scraped successfully with 20 books.
2026-03-17 22:46:18,686 | INFO | scraper | Requesting page 29: attempt 1
2026-03-17 22:46:19,486 | INFO | scraper | Page 29 scraped successfully with 20 books.
2026-03-17 22:46:19,487 | INFO | scraper | Requesting page 30: attempt 1
2026-03-17 22:46:19,536 | INFO | scraper | Page 29 scraped successfully with 20 books.
2026-03-17 22:46:19,537 | INFO | scraper | Requesting page 30: attempt 1
2026-03-17 22:46:20,277 | INFO | scraper | Page 30 scraped successfully with 20 books.
2026-03-17 22:46:20,280 | INFO | scraper | Requesting page 31: attempt 1
2026-03-17 22:46:20,341 | INFO | scraper | Page 30 scraped successfully with 20 books.
2026-03-17 22:46:20,344 | INFO | scraper | Requesting page 31: attempt 1
2026-03-17 22:46:21,102 | INFO | scraper | Page 31 scraped successfully with 20 books.
2026-03-17 22:46:21,104 | INFO | scraper | Requesting page 32: attempt 1
2026-03-17 22:46:21,147 | INFO | scraper | Page 31 scraped successfully with 20 books.
2026-03-17 22:46:21,149 | INFO | scraper | Requesting page 32: attempt 1
2026-03-17 22:46:21,919 | INFO | scraper | Page 32 scraped successfully with 20 books.
2026-03-17 22:46:21,924 | INFO | scraper | Requesting page 33: attempt 1
2026-03-17 22:46:21,947 | INFO | scraper | Page 32 scraped successfully with 20 books.
2026-03-17 22:46:21,949 | INFO | scraper | Requesting page 33: attempt 1
2026-03-17 22:46:22,763 | INFO | scraper | Page 33 scraped successfully with 20 books.
2026-03-17 22:46:22,766 | INFO | scraper | Page 33 scraped successfully with 20 books.
2026-03-17 22:46:22,766 | INFO | scraper | Requesting page 34: attempt 1
2026-03-17 22:46:22,767 | INFO | scraper | Requesting page 34: attempt 1
2026-03-17 22:46:23,666 | INFO | scraper | Page 34 scraped successfully with 20 books.
2026-03-17 22:46:23,669 | INFO | scraper | Requesting page 35: attempt 1
2026-03-17 22:46:23,673 | INFO | scraper | Page 34 scraped successfully with 20 books.
2026-03-17 22:46:23,675 | INFO | scraper | Requesting page 35: attempt 1
2026-03-17 22:46:24,504 | INFO | scraper | Page 35 scraped successfully with 20 books.
2026-03-17 22:46:24,506 | INFO | scraper | Requesting page 36: attempt 1
2026-03-17 22:46:24,531 | INFO | scraper | Page 35 scraped successfully with 20 books.
2026-03-17 22:46:24,532 | INFO | scraper | Requesting page 36: attempt 1
2026-03-17 22:46:25,299 | INFO | scraper | Page 36 scraped successfully with 20 books.
2026-03-17 22:46:25,301 | INFO | scraper | Requesting page 37: attempt 1
2026-03-17 22:46:25,337 | INFO | scraper | Page 36 scraped successfully with 20 books.
2026-03-17 22:46:25,341 | INFO | scraper | Requesting page 37: attempt 1
2026-03-17 22:46:26,193 | INFO | scraper | Page 37 scraped successfully with 20 books.
2026-03-17 22:46:26,195 | INFO | scraper | Page 37 scraped successfully with 20 books.
2026-03-17 22:46:26,195 | INFO | scraper | Requesting page 38: attempt 1
2026-03-17 22:46:26,197 | INFO | scraper | Requesting page 38: attempt 1
2026-03-17 22:46:27,003 | INFO | scraper | Page 38 scraped successfully with 20 books.
2026-03-17 22:46:27,005 | INFO | scraper | Requesting page 39: attempt 1
2026-03-17 22:46:27,064 | INFO | scraper | Page 38 scraped successfully with 20 books.
2026-03-17 22:46:27,065 | INFO | scraper | Requesting page 39: attempt 1
